Name,Rating,Date,Review,Title,Score,Compound,Sentiment
Dharmesh Tolia,5,27-01-2024,dabur meswak complete oral care toothpaste game changer daily dental routine refreshing blend meswak not leaves mouth feel incredibly clean also ensures gums stay healthy conventional toothpaste addressing cavity concerns promoting overall oral natural ingredients give confidence choice use dabur meswak satisfying ritual leave lasting clean feel genuine smile toothpaste holistic approach oral care,toothpaste holistic approach oral care,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9879}",0.9879,positive
Rohit yadav,4,26-01-2024,dabur meswak complete oral care toothpaste use firts time happy value money quality product good good oral care,dabur meswak complete oral care toothpaste,"{'neg': 0.0, 'neu': 0.57, 'pos': 0.43, 'compound': 0.9575}",0.9575,positive
Anabayan,5,29-01-2024,unique taste good product,unique taste good product,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
Placeholder,5,29-12-2023,first time use product nice,good product,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.669}",0.669,positive
G,3,04-01-2024,quality definitely since start product disappointed,use better,"{'neg': 0.196, 'neu': 0.633, 'pos': 0.171, 'compound': -0.1027}",-0.1027,negative
vinay sainath reddy,4,02-02-2024,taste flavour toothpaste good refreshingeliminates bad smell daythe flavour bit people sensitive gumfor general persons excellent productnot sensitive gums,flavour good,"{'neg': 0.115, 'neu': 0.729, 'pos': 0.155, 'compound': 0.4019}",0.4019,positive
Seysmail,5,13-01-2024,worth price,nice,"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,positive
Suresh Singh,5,26-12-2023,good product,nice,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Zaki,4,10-02-2024,good toothpaste usesmell good,dabur miswak,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,positive
Vikas,4,17-01-2024,good,paste,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Abhi,4,08-01-2024,good toothpaste,good,"{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}",0.4404,positive
Abhay,4,18-12-2023,good paste,good paste,"{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}",0.4404,positive
Amazon Customer,4,16-12-2023,pastehas long expiry,good product standard delivery decent price,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Prasanna Bhat,5,13-02-2024,good buy,worth,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
Sandeep kkr,4,03-12-2023,toothpaste mein saunf ki heavy smell hai baki teeth ke liye better hai problem,ok toothpaste,"{'neg': 0.145, 'neu': 0.699, 'pos': 0.156, 'compound': 0.0516}",0.0516,positive
Obito uchiha,5,31-01-2024,ice,best,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
AB,4,05-12-2023,fragrance good,overall good,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4927}",0.4927,positive
Raj Mavani,4,28-11-2023,buy small children sweetness,product nice little bit sweet,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,positive
Pavan Naik,5,21-01-2024,indian products dam good,worth,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}",0.4404,positive
Harichandan maharana,4,15-11-2023,defective product returned money back within days,defective product received,"{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.4404}",-0.4404,negative
Chetan Rathore,5,16-01-2024,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Kishanpithiya,5,05-01-2024,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Pradeep,4,23-10-2023,taste totally different brand tooth paste taste like fennel base taste feel,taste,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.3612,positive
Tapaspal,4,25-10-2023,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Ramakrishna Rao,5,28-12-2023,eirching,worming,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
vasudeva rao,5,24-12-2023,good,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
BInaya k.,4,21-09-2023,offer price market price,good,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Krishna gupta,4,24-09-2023,like product,good paste freshness mouth,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.3612}",0.3612,positive
Syed s.,4,03-09-2023,nice indian alternative toothpaste instead use foreign brandsthe flavour mild friendly kids usage,good toothpaste,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7184}",0.7184,positive
Somya Kiroula,5,04-01-2024,good oral care product,good,"{'neg': 0.0, 'neu': 0.247, 'pos': 0.753, 'compound': 0.7269}",0.7269,positive
Sandeep Gaikwad,3,18-11-2023,useful,good,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",0.4404,positive
Renuka prasanna,4,04-09-2023,better compare chemical colgate,good taste,"{'neg': 0.0, 'neu': 0.687, 'pos': 0.313, 'compound': 0.4927}",0.4927,positive
Abivj,5,11-12-2023,okay type,good,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,positive
