Name,Stars,Title,Date,Description
Dharmesh Tolia,5.0,"5.0 out of 5 stars
t's more than just toothpaste; it's a holistic approach to oral care...",27/01/2024,"Dabur Meswak Complete Oral Care Toothpaste is a game-changer for my daily dental routine. The refreshing blend of Meswak not only leaves my mouth feeling incredibly clean but also ensures my gums stay healthy. It goes beyond conventional toothpaste, addressing cavity concerns and promoting overall oral well-being. The natural ingredients give me confidence in my choice. Using Dabur Meswak has become a satisfying ritual, leaving me with a lasting clean feeling and a genuine smile. It's more than just toothpaste; it's a holistic approach to oral care."
Rohit yadav,4.0,"4.0 out of 5 stars
Dabur Meswak Complete Oral Care Toothpaste",26/01/2024,"Dabur Meswak Complete Oral Care Toothpaste I used firts time and I am happy with this value of money 100%, quality of product very good, and good for the oral care."
Anabayan,5.0,"5.0 out of 5 stars
Unique taste and good product",29/01/2024,Unique taste and good product
Placeholder,5.0,"5.0 out of 5 stars
Good product",29/12/2023,I am first time use this product very well and very nice
G,3.0,"3.0 out of 5 stars
Used to be better",04/01/2024,Quality has definitely gone down since the start of this product. Disappointed
vinay sainath reddy,4.0,"4.0 out of 5 stars
Flavour is good",02/02/2024,The taste and flavour of this toothpaste Is good and refreshingEliminates the bad smell full dayThe flavour is bit hard for people with sensitive gumFor general persons it is an excellent productNot for sensitive gums
Seysmail,5.0,"5.0 out of 5 stars
Nice",13/01/2024,Worth the price
Suresh Singh,5.0,"5.0 out of 5 stars
Nice",26/12/2023,Good Product
Zaki,4.0,"4.0 out of 5 stars
Dabur miswak",10/02/2024,Good toothpaste to useSmell is good
Vikas,4.0,"4.0 out of 5 stars
Paste",17/01/2024,Good
Abhi,4.0,"4.0 out of 5 stars
Good one",08/01/2024,Its a good toothpaste
Abhay,4.0,"4.0 out of 5 stars
Good paste",18/12/2023,Good paste
Amazon Customer,4.0,"4.0 out of 5 stars
Good product.. standard delivery .. decent price",16/12/2023,What else for a paste..has long expiry..
Prasanna Bhat,5.0,"5.0 out of 5 stars
Worth it.",13/02/2024,A good buy.
Sandeep kkr,4.0,"4.0 out of 5 stars
Ok toothpaste",03/12/2023,Toothpaste mein saunf ki heavy smell hai .baki teeth ke liye better hai .no problem
Obito uchiha,5.0,"5.0 out of 5 stars
Best",31/01/2024,Ice
AB,4.0,"4.0 out of 5 stars
Overall good",05/12/2023,Fragrance is very good 👍
Raj Mavani,4.0,"4.0 out of 5 stars
Product is nice but little bit sweet.",28/11/2023,I buy for the small children for the sweetness 😁
Pavan Naik,5.0,"5.0 out of 5 stars
Worth full",21/01/2024,Indian products were dam good
Harichandan maharana,4.0,"4.0 out of 5 stars
Defective product received",15/11/2023,It is defective product and I have returned it and get my money back within 3 days.
Chetan Rathore,5.0,"5.0 out of 5 stars
Good",16/01/2024,Good
Kishanpithiya,5.0,"5.0 out of 5 stars
Good",05/01/2024,Good
Pradeep,4.0,"4.0 out of 5 stars
Taste",23/10/2023,Taste is totally different from other brand tooth paste. It's taste like Fennel ( based on my taste I feel )
Tapaspal,4.0,"4.0 out of 5 stars
Good",25/10/2023,Good
Ramakrishna Rao,5.0,"5.0 out of 5 stars
Worming",28/12/2023,Eirching
vasudeva rao,5.0,"5.0 out of 5 stars
Good",24/12/2023,Good
BInaya k.,4.0,"4.0 out of 5 stars
Good",21/09/2023,Offer price and market price are same
Krishna gupta,4.0,"4.0 out of 5 stars
Very good paste full freshness of mouth",24/09/2023,Like this product
Syed s.,4.0,"4.0 out of 5 stars
Good Toothpaste",03/09/2023,A nice Indian alternative toothpaste instead of using foreign brands.The flavour is mild and friendly for kids usage.
Somya Kiroula,5.0,"5.0 out of 5 stars
Good one",04/01/2024,Good oral care product
Sandeep Gaikwad,3.0,"3.0 out of 5 stars
Good",18/11/2023,Useful
Renuka prasanna,4.0,"4.0 out of 5 stars
Good taste",04/09/2023,It was very better compared to chemical colgate
Abivj,5.0,"5.0 out of 5 stars
Good",11/12/2023,Okay type
Seelam Suresh babu,4.0,"4.0 out of 5 stars
Usefull product",06/09/2023,Very big offer
Ratna Kumar,4.0,"4.0 out of 5 stars
Using from my childhood",17/08/2023,"It tastes bland for new users, never mind. Just don’t eat it. It is a great product"
Mahendra Patel,4.0,"4.0 out of 5 stars
Good Aayurvedik toothpaste",27/08/2023,Liked the smell and feeling good after use.
Sachin Surawar,5.0,"5.0 out of 5 stars
Excellent Product",11/11/2023,Delivery and imports process was excellent from ordering to receiving the product.
Aruna Koppu,4.0,"4.0 out of 5 stars
Ok",12/08/2023,Ok
Amazon Customer,5.0,"5.0 out of 5 stars
Very good product",06/11/2023,It is very good
NAJMUL ISLAM,5.0,"5.0 out of 5 stars
VERY SWEET, NICE SMELL",20/09/2023,"This toothpaste is awesome, I really like it. It doesn't have the chemical like taste. Taste like original meswak, so sweet. My recommendation to buy it definitely, I'll buy it again... 😊"
Soumit Das,4.0,"4.0 out of 5 stars
Quality",03/08/2023,Good Quality and packaging..
Sumo,4.0,"4.0 out of 5 stars
Very effective",25/06/2023,Been using for years.Good for gums and teeth but sometimes the breath doesn't remain so fresh after a while
